"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"191","#singapore #asia #anchorage #kotwica #stena #stenaedda #stenalineukie #stenaline #underway to #irishsea #hotday… https://t.co/PndpOFtPZO",FALSE,0,NA,2020-01-31 07:17:25,TRUE,NA,"1223143229316571137",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","stanfse",0,FALSE,FALSE,NA,NA
"192","#singapore #asia #anchorage #kotwica #stena #stenaedda #stenalineukie #stenaline #underway to #irishsea #hotday… https://t.co/ZXiq57kODj",FALSE,0,NA,2020-01-31 07:17:23,TRUE,NA,"1223143222400167936",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","stanfse",0,FALSE,FALSE,NA,NA
"193","#singapore #asia #anchorage #kotwica #stena #stenaedda #stenalineukie #stenaline #underway to #irishsea #hotday… https://t.co/joL62Trhyr",FALSE,0,NA,2020-01-31 07:17:20,TRUE,NA,"1223143209821405184",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","stanfse",0,FALSE,FALSE,NA,NA
"194","#Mavcom imposes fines on AirAsia, AirAsia X, MAHB | read: https://t.co/B6t93Ppa9K | #Airline #Asia #Travel https://t.co/9DFjDF2CK8",FALSE,0,NA,2020-01-31 07:17:02,FALSE,NA,"1223143131547197441",NA,"<a href=""https://www.retailnews.asia"" rel=""nofollow"">RetailNews.asia</a>","retailnewsasia",0,FALSE,FALSE,NA,NA
"195","Pagoda Mandalay 📷 photo nyithit.phys 🎩 sponsor alfonsodeste_official 
#myanmar #birmania #mandalay #pagoda #white… https://t.co/cb7tKRg3zU",FALSE,0,NA,2020-01-31 07:15:38,TRUE,NA,"1223142782740549632",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Marcohangdrum",0,FALSE,FALSE,"96.109758","22.00347"
"196","RT @isawisay: Two-way. Visit https://t.co/3PHHPBHLJ1

#blog #adventure #wanderlust #travel #soloflight #Asia #Korea #SouthKorea #KoreanOdys…",FALSE,0,NA,2020-01-31 07:09:27,FALSE,NA,"1223141224795791366",NA,"<a href=""https://www.botlibre.com"" rel=""nofollow"">Bot Libre!</a>","Wordpress_Word",1,TRUE,FALSE,NA,NA
"197","Two-way. Visit https://t.co/3PHHPBHLJ1

#blog #adventure #wanderlust #travel #soloflight #Asia #Korea #SouthKorea… https://t.co/fAjuun3TcB",FALSE,0,NA,2020-01-31 07:07:52,TRUE,NA,"1223140826680832002",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","isawisay",1,FALSE,FALSE,"128.166","35.5666"
"198","Such tranquility, there's magic in the air

#kerala #keralatourism  #godsowncountry #india #incredibleindia #peace… https://t.co/vmVSp2UHxL",FALSE,0,NA,2020-01-31 06:49:20,TRUE,NA,"1223136163130724353",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","_wanderinjunkie",0,FALSE,FALSE,NA,NA
"199","Walking the #Seoul City Wall – Heunginjimun Gate Trail section #travel https://t.co/hoXBzWlcQN #art #asia… https://t.co/jG8J8FmfUJ",FALSE,1,NA,2020-01-31 06:42:44,TRUE,NA,"1223134500315639810",NA,"<a href=""https://everybodyhatesatourist.net"" rel=""nofollow"">Revive Old Post EHAT</a>","ehatourist",0,FALSE,FALSE,NA,NA
"200","RT @StoopidGenius87: 📢📢LISTEN UP📢📢

#Giveaway #Travel #WorldTravel #World #AroundTheWorld #Asia #Africa #NorthAmerica #SouthAmerica #Centra…",FALSE,0,NA,2020-01-31 06:41:29,FALSE,NA,"1223134187303186432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mrxcluziive",1,TRUE,FALSE,NA,NA
